start_date,end_date,company,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,sentiment,sentiment_type,sentiment_score,Symbol
2024-04-25,2024-04-26,Adani Enterprises Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/109594304.cms,https://m.economictimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/amp_articleshow/109594304.cms,Stock Market Sectors : Stock market update : Mining stocks up as market rises,20240425T114500Z,"https://img.etimg.com/thumb/msid-81699096,width-1200,height-630,imgsize-194573,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'POSITIVE', 'score': 0.9983824491500854}",POSITIVE,0.9983824491500854,ADANIENT
2024-04-26,2024-04-27,Apollo Hospitals Enterprise Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-on-d-street-today-in-terms-of-volume/articleshow/109613936.cms,https://m.economictimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-on-d-street-today-in-terms-of-volume/amp_articleshow/109613936.cms,share market : Share market update : Most active stocks on D - Street today in terms of volume,20240426T061500Z,"https://img.etimg.com/thumb/msid-77646325,width-1200,height-630,imgsize-71505,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'POSITIVE', 'score': 0.9943622350692749}",POSITIVE,0.9943622350692748,APOLLOHOSP
2024-04-26,2024-04-27,Apollo Hospitals Enterprise Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-falls/articleshow/109625540.cms,https://m.economictimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-falls/amp_articleshow/109625540.cms,Stock Market Sectors : Stock market update : Power stocks down as market falls,20240426T114500Z,"https://img.etimg.com/thumb/msid-77922857,width-1200,height-630,imgsize-132855,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'NEGATIVE', 'score': 0.9979766011238098}",NEGATIVE,0.9979766011238098,APOLLOHOSP
2024-04-25,2024-04-26,Apollo Hospitals Enterprise Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/109582499.cms,https://m.economictimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/amp_articleshow/109582499.cms,Stock Market Sectors : Stock market update : Sugar stocks up as market rises,20240425T061500Z,"https://img.etimg.com/thumb/msid-81699096,width-1200,height-630,imgsize-194573,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'POSITIVE', 'score': 0.9983623623847961}",POSITIVE,0.998362362384796,APOLLOHOSP
2024-04-23,2024-04-24,Apollo Hospitals Enterprise Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-mixed-as-market-rises/articleshow/109531463.cms,https://m.economictimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-mixed-as-market-rises/amp_articleshow/109531463.cms,Stock Market Sectors : Stock market update : Mining stocks mixed as market rises,20240423T110000Z,"https://img.etimg.com/thumb/msid-83771694,width-1200,height-630,imgsize-185726,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'NEGATIVE', 'score': 0.9895813465118408}",NEGATIVE,0.9895813465118408,APOLLOHOSP
2024-04-25,2024-04-26,Asian Paints Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/109582499.cms,https://m.economictimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/amp_articleshow/109582499.cms,Stock Market Sectors : Stock market update : Sugar stocks up as market rises,20240425T061500Z,"https://img.etimg.com/thumb/msid-81699096,width-1200,height-630,imgsize-194573,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'POSITIVE', 'score': 0.9983623623847961}",POSITIVE,0.998362362384796,ASIANPAINT
2024-04-25,2024-04-26,Asian Paints Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/109594304.cms,https://m.economictimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/amp_articleshow/109594304.cms,Stock Market Sectors : Stock market update : Mining stocks up as market rises,20240425T114500Z,"https://img.etimg.com/thumb/msid-81699096,width-1200,height-630,imgsize-194573,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'POSITIVE', 'score': 0.9983824491500854}",POSITIVE,0.9983824491500854,ASIANPAINT
2024-04-24,2024-04-25,Asian Paints Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/109552125.cms,https://m.economictimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/amp_articleshow/109552125.cms,active stocks : Share market update : Most active stocks of the day in terms of total traded value,20240424T061500Z,"https://img.etimg.com/thumb/msid-83725308,width-1200,height-630,imgsize-48184,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'POSITIVE', 'score': 0.9964612126350403}",POSITIVE,0.9964612126350404,ASIANPAINT
2024-04-23,2024-04-24,Asian Paints Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-mixed-as-market-rises/articleshow/109531463.cms,https://m.economictimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-mixed-as-market-rises/amp_articleshow/109531463.cms,Stock Market Sectors : Stock market update : Mining stocks mixed as market rises,20240423T110000Z,"https://img.etimg.com/thumb/msid-83771694,width-1200,height-630,imgsize-185726,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'NEGATIVE', 'score': 0.9895813465118408}",NEGATIVE,0.9895813465118408,ASIANPAINT
2024-04-25,2024-04-26,Axis Bank Ltd.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/109582645.cms,https://m.economictimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/amp_articleshow/109582645.cms,active stocks : Share market update : Most active stocks of the day in terms of total traded value,20240425T061500Z,"https://img.etimg.com/thumb/msid-83771694,width-1200,height-630,imgsize-185726,overlay-etmarkets/photo.jpg",economictimes.indiatimes.com,English,India,"{'label': 'POSITIVE', 'score': 0.9964612126350403}",POSITIVE,0.9964612126350404,AXISBANK
